ds;y
01/05/2024;10.0
02/05/2024;0.0
03/05/2024;45.0
04/05/2024;126.0
05/05/2024;0.0
06/05/2024;0.0
07/05/2024;9.0
08/05/2024;24.0
09/05/2024;30.0
10/05/2024;62.0
11/05/2024;100.0
12/05/2024;0.0
13/05/2024;0.0
14/05/2024;0.0
15/05/2024;4.0
16/05/2024;31.0
17/05/2024;44.0
18/05/2024;143.0
19/05/2024;0.0
20/05/2024;0.0
21/05/2024;30.0
22/05/2024;14.0
23/05/2024;5.0
24/05/2024;46.0
25/05/2024;78.0
26/05/2024;0.0
27/05/2024;0.0
28/05/2024;41.0
29/05/2024;10.0
30/05/2024;2.0
31/05/2024;101.0
01/06/2024;0.0
02/06/2024;0.0
03/06/2024;0.0
04/06/2024;6.0
05/06/2024;23.0
06/06/2024;0.0
07/06/2024;46.0
08/06/2024;97.0
09/06/2024;0.0
10/06/2024;0.0
11/06/2024;12.0
12/06/2024;128.0
13/06/2024;10.0
14/06/2024;130.0
15/06/2024;143.0
16/06/2024;0.0
17/06/2024;0.0
18/06/2024;15.0
19/06/2024;10.0
20/06/2024;15.0
21/06/2024;57.0
22/06/2024;38.0
23/06/2024;0.0
24/06/2024;0.0
25/06/2024;0.0
26/06/2024;10.0
27/06/2024;0.0
28/06/2024;121.0
29/06/2024;0.0
30/06/2024;0.0
01/07/2024;0.0
02/07/2024;0.0
03/07/2024;0.0
04/07/2024;0.0
05/07/2024;0.0
06/07/2024;0.0
07/07/2024;0.0
08/07/2024;0.0
09/07/2024;0.0
10/07/2024;0.0
11/07/2024;0.0
12/07/2024;0.0
13/07/2024;0.0
14/07/2024;0.0
15/07/2024;0.0
16/07/2024;0.0
17/07/2024;0.0
18/07/2024;0.0
19/07/2024;0.0
20/07/2024;0.0
21/07/2024;0.0
22/07/2024;0.0
23/07/2024;0.0
24/07/2024;2.0
25/07/2024;1.0
26/07/2024;266.0
27/07/2024;289.0
28/07/2024;0.0
29/07/2024;0.0
30/07/2024;57.0
31/07/2024;106.0
01/08/2024;0.0
02/08/2024;54.0
03/08/2024;44.0
04/08/2024;0.0
05/08/2024;0.0
06/08/2024;0.0
07/08/2024;6.0
08/08/2024;2.0
09/08/2024;92.0
10/08/2024;8.0
11/08/2024;0.0
12/08/2024;0.0
13/08/2024;35.0
14/08/2024;9.0
15/08/2024;1.0
16/08/2024;217.0
17/08/2024;85.0
18/08/2024;0.0
19/08/2024;8.0
20/08/2024;12.0
21/08/2024;18.0
22/08/2024;6.0
23/08/2024;245.0
24/08/2024;103.0
25/08/2024;0.0
26/08/2024;0.0
27/08/2024;62.0
28/08/2024;61.0
29/08/2024;21.0
30/08/2024;475.0
31/08/2024;74.0
01/09/2024;0.0
02/09/2024;0.0
03/09/2024;24.0
04/09/2024;2.0
05/09/2024;7.0
06/09/2024;77.0
07/09/2024;68.0
08/09/2024;0.0
09/09/2024;0.0
10/09/2024;158.0
11/09/2024;64.0
12/09/2024;17.0
13/09/2024;85.0
14/09/2024;517.0
15/09/2024;0.0
16/09/2024;0.0
17/09/2024;0.0
18/09/2024;24.0
19/09/2024;279.0
20/09/2024;42.0
21/09/2024;180.0
22/09/2024;0.0
23/09/2024;0.0
24/09/2024;40.0
25/09/2024;72.0
26/09/2024;11.0
27/09/2024;135.0
28/09/2024;147.0
29/09/2024;0.0
30/09/2024;2.0
01/10/2024;0.0
02/10/2024;6.0
03/10/2024;0.0
04/10/2024;19.0
05/10/2024;36.0
06/10/2024;0.0
07/10/2024;0.0
08/10/2024;54.0
09/10/2024;20.0
10/10/2024;9.0
11/10/2024;361.0
12/10/2024;113.0
13/10/2024;0.0
14/10/2024;0.0
15/10/2024;51.0
16/10/2024;59.0
17/10/2024;8.0
18/10/2024;456.0
19/10/2024;186.0
20/10/2024;0.0
21/10/2024;0.0
22/10/2024;134.0
23/10/2024;38.0
24/10/2024;3.0
25/10/2024;185.0
26/10/2024;487.0
27/10/2024;0.0
28/10/2024;0.0
29/10/2024;14.0
30/10/2024;160.0
31/10/2024;596.0
